,Primary Dealer,Start Date,End Date
0,"AUBREY G. LANSTON & CO., INC.      ",1960-05-19 00:00:00,2000-04-17 00:00:00
1,BANKERS TRUST                       ,1960-05-19 00:00:00,1989-07-07 00:00:00
2,BARTOW LEEDS & CO.                  ,1960-05-19 00:00:00,1962-06-14 00:00:00
3,"C.F. CHILDS & CO., INC              ",1960-05-19 00:00:00,1965-06-29 00:00:00
4,CHEMICAL                           ,1960-05-19 00:00:00,1989-03-31 00:00:00
5,CONTINENTAL ILL.                    ,1960-05-19 00:00:00,1988-12-14 00:00:00
6,"D.W. RICH & CO., INC                ",1960-05-19 00:00:00,1969-12-31 00:00:00
7,DISCOUNT CORPORATION OF NEW YORK    ,1960-05-19 00:00:00,1993-08-10 00:00:00
8,DREXEL BURNHAM LAMBERT             ,1960-05-19 00:00:00,1990-03-28 00:00:00
9,FIRST CHICAGO                      ,1960-05-19 00:00:00,1990-01-01 00:00:00
10,"IRVING SECURITIES, INC.             ",1960-05-19 00:00:00,1989-07-31 00:00:00
11,"J.P.MORGAN SECURITIES,INC.          ",1960-05-19 00:00:00,2001-04-30 00:00:00
12,MALON S. ANDRUS INC.                ,1960-05-19 00:00:00,1965-11-24 00:00:00
13,MERRILL LYNCH GOVERNMENT SEC. INC. ,1960-05-19 00:00:00,2009-02-11 00:00:00
14,SALOMON BROTHERS INC.              ,1960-05-19 00:00:00,1998-08-31 00:00:00
15,SECURITIES GROUPS                   ,1960-05-19 00:00:00,1983-06-05 00:00:00
16,THE FIRST BOSTON CORPORATION       ,1960-05-19 00:00:00,1993-10-11 00:00:00
17,"WM. E. POLLOCK GOV'T SECURITIES,INC ",1960-05-19 00:00:00,1987-02-03 00:00:00
18,CITIBANK                            ,1961-06-15 00:00:00,1989-04-13 00:00:00
19,"SECOND DISTRICT SECURITIES CO., INC ",1961-06-15 00:00:00,1980-08-27 00:00:00
20,"BLYTH & CO., INC.                   ",1962-04-16 00:00:00,1970-01-14 00:00:00
21,FIRST INTERSTATE                    ,1964-07-31 00:00:00,1986-10-31 00:00:00
22,HARRIS TRUST                       ,1965-07-15 00:00:00,1988-08-31 00:00:00
23,F.I. DUPONT & CO                    ,1968-12-12 00:00:00,1973-07-18 00:00:00
24,CHASE MANHATTAN GOV'T SECURITIES    ,1970-07-15 00:00:00,1987-06-30 00:00:00
25,BANK OF AMERICA NT & SA            ,1971-11-17 00:00:00,1994-04-15 00:00:00
26,BECKER                              ,1971-11-17 00:00:00,1984-09-10 00:00:00
27,NUVEEN GOV'T SEC. INC.              ,1971-11-18 00:00:00,1980-08-27 00:00:00
28,"PAINE, WEBBER, JACKSON & CURTIS INC.",1972-06-22 00:00:00,1973-06-27 00:00:00
29,LEHMAN GOV'T SEC. INC.              ,1973-02-22 00:00:00,1974-01-29 00:00:00
30,NORTHERN TRUST                      ,1973-08-08 00:00:00,1986-05-29 00:00:00
31,DLJ SECURITIES CORPORATION         ,1974-03-06 00:00:00,2000-12-31 00:00:00
32,FIRST PENNCO SEC. INC.              ,1974-03-07 00:00:00,1980-08-27 00:00:00
33,"GOLDMAN, SACHS & CO.               ",1974-12-04 00:00:00,Current Dealer
34,BLYTH EASTMAN DILLON CAPITAL MARKETS,1974-12-05 00:00:00,1979-12-31 00:00:00
35,"MIDLAND-MONTAGU GOV. SEC.,INC. ",1975-08-13 00:00:00,1990-07-26 00:00:00
36,PRUDENTIAL-BACHE               ,1975-10-29 00:00:00,1991-02-24 00:00:00
37,"WHITE, WELD & CO INC.               ",1976-02-26 00:00:00,1978-04-18 00:00:00
38,"WEEDEN & CO., INC.                  ",1976-06-17 00:00:00,1978-05-15 00:00:00
39,CARROLL MCENTEE & MCGINLEY INC.     ,1976-09-29 00:00:00,1994-05-06 00:00:00
40,LEHMAN                              ,1976-11-25 00:00:00,1987-12-31 00:00:00
41,PAINE WEBBER INCORPORATED           ,1976-11-25 00:00:00,2000-12-04 00:00:00
42,DEAN WITTER REYNOLDS INC.          ,1977-11-02 00:00:00,1998-04-30 00:00:00
43,HUTTON                              ,1977-11-02 00:00:00,1987-12-31 00:00:00
44,MORGAN STANLEY & CO. INCORPORATED  ,1978-02-01 00:00:00,2011-05-31 00:00:00
45,"KIDDER, PEABODY & CO., INCORPORATED",1979-02-07 00:00:00,1994-12-30 00:00:00
46,"SMITH BARNEY, HARRIS UPHAM & CO.,INC",1979-08-22 00:00:00,1993-08-01 00:00:00
47,"KLEINWORT BENSON  GOV'T SEC., INC.  ",1980-02-13 00:00:00,1989-12-27 00:00:00
48,REFCO PARTNERS                     ,1980-11-19 00:00:00,1987-05-07 00:00:00
49,"BEAR,STEARNS & CO., INC.           ",1981-06-10 00:00:00,2008-10-01 00:00:00
