Primary Dealer,gvkey
"AUBREY G. LANSTON & CO., INC.      ",11687
BANKERS TRUST                       ,
BARTOW LEEDS & CO.                  ,
"C.F. CHILDS & CO., INC              ",
CHEMICAL                           ,15362
CHEMICAL                           ,15362
CONTINENTAL ILL.                    ,
"D.W. RICH & CO., INC                ",
DISCOUNT CORPORATION OF NEW YORK    ,
DREXEL BURNHAM LAMBERT             ,144496
FIRST CHICAGO                      ,144496
"IRVING SECURITIES, INC.             ",144496
"J.P.MORGAN SECURITIES,INC.          ",144496
MALON S. ANDRUS INC.                ,10559
MERRILL LYNCH GOVERNMENT SEC. INC. ,
SALOMON BROTHERS INC.              ,
SECURITIES GROUPS                   ,15706
THE FIRST BOSTON CORPORATION       ,2612
"WM. E. POLLOCK GOV'T SECURITIES,INC ",60841
CITIBANK                            ,60841
"SECOND DISTRICT SECURITIES CO., INC ",60841
"BLYTH & CO., INC.                   ",12406
FIRST INTERSTATE                    ,
HARRIS TRUST                       ,
F.I. DUPONT & CO                    ,9577
CHASE MANHATTAN GOV'T SECURITIES    ,
BANK OF AMERICA NT & SA            ,
BECKER                              ,
NUVEEN GOV'T SEC. INC.              ,
"PAINE, WEBBER, JACKSON & CURTIS INC.",
LEHMAN GOV'T SEC. INC.              ,
NORTHERN TRUST                      ,
DLJ SECURITIES CORPORATION         ,
FIRST PENNCO SEC. INC.              ,60841
"GOLDMAN, SACHS & CO.               ",6657
BLYTH EASTMAN DILLON CAPITAL MARKETS,
"MIDLAND-MONTAGU GOV. SEC.,INC. ",163770
PRUDENTIAL-BACHE               ,
"WHITE, WELD & CO INC.               ",15633
"WEEDEN & CO., INC.                  ",15633
CARROLL MCENTEE & MCGINLEY INC.     ,143356
LEHMAN                              ,143356
PAINE WEBBER INCORPORATED           ,15532
DEAN WITTER REYNOLDS INC.          ,8299
HUTTON                              ,8299
MORGAN STANLEY & CO. INCORPORATED  ,25296
"KIDDER, PEABODY & CO., INCORPORATED",7982
"SMITH BARNEY, HARRIS UPHAM & CO.,INC",15613
"KLEINWORT BENSON  GOV'T SEC., INC.  ",15613
REFCO PARTNERS                     ,15580
"BEAR,STEARNS & CO., INC.           ",2968
"BEAR,STEARNS & CO., INC.           ",2968
FIRST N/B OF BOSTON                 ,
SOUTHERN CALIF S&L ASSOC           ,
MANUFACTURERS HANOVER               ,
N.Y.HANSEATIC CORP.            ,
"GREENWICH CAPITAL MARKETS, INC.     ",12124
"FIRST INTERSTATE CAPITAL MARKETS,INC",12124
DAIWA SECURITIES AMERICA INC.      ,248136
"L.F.ROTHSCHILD,UNTERBERG,TOWBIN",7032
"NOMURA SECURITIES INTERNATIONAL,INC",177745
SECURITY PACIFIC NATIONAL BANK      ,7647
THOMSON MCKINNON SECURITIES INC.   ,7267
WESTPAC POLLOCK GOV'T SECURITIES INC,7003
"BROPHY,GESTAL, KNIGHT AND CO., L.P.",7003
"L.F.ROTHSCHILD & CO., INC.     ",
CHASE MANHATTAN CAPITAL MARKETS CORP,15929
"CRT GOVERNMENT SECURITIES,INC.     ",30128
"LLOYDS GOV'T SECURITIES, INC.      ",30128
THE NIKKO SECURITIES CO. INT'      ,12406
SHEARSON LEHMAN                     ,30128
"SANWA-BGK SECURITIES CO., L.P.     ",
"DILLON, READ & CO., INC.           ",12223
"S.G. WARBURG & CO., INC.            ",
"WERTHEIM SCHRODER & CO., INC.       ",5048
MANUFACTURERS HANOVER SECURITIES COR,6239
HARRIS GOVERNMENT SECURITIES       ,6239
"COUNTY NATWEST GOV. SEC., INC.      ",2968
"YAMAICHI INT'L (AMERICA), INC.     ",2968
"CONTINENTAL BANK, NATIONAL ASSOC.   ",2968
"CHASE SECURITIES, INC               ",6186
"CHASE SECURITIES, INC               ",6186
"CHEMICAL SECURITIES, INC.          ",5793
"CHEMICAL SECURITIES, INC.          ",5793
"CITICORP SECURITIES MARKETS, INC.   ",15509
BT SECURITIES CORPORATION           ,15509
"BNY SECURITIES, INC.                ",5491
BARCLAYS DE ZOETE WEDD GSI          ,5491
UBS SECURITIES INC.                ,5491
FUJI SECURITIES INC.               ,5491
FIRST CHICAGO CAPITAL MARKETS      ,16951
BARCLAYS DE ZOETE WEDD SECURITIES IN,114628
"SBC GOVERNMENT SECURITIES, INC.",248136
LEHMAN GOVERNMENT SECURITIES INC    ,
DEUTSCHE BANK GSI                   ,4684
PRUDENTIAL SECURITIES INCORPO  ,4710
CHEMICAL SECURITIES INC            ,4710
CHEMICAL SECURITIES INC            ,4710
EASTBRIDGE CAPITAL INC.             ,4689
"HARRIS-NESBITT THOMSON SEC., INC.  ",4689
"NATIONSBANK OF NORTH CAROLINA, N.A.",7647
"CITICORP SECURITIES, INC.           ",3066
SMITH BARNEY SHEARSON INC.          ,
ZIONS FIRST NATIONAL BANK           ,15577
HARRIS NESBITT THOMSON SEC. INC.   ,15577
DEUTSCHE BANK SECURITIES CORPORATION,15577
"NATIONSBANC CAPITAL MARKETS, INC.  ",4037
CS FIRST BOSTON CORPORATION        ,3689
"SANWA SECURITIES (USA) CO., L      ",144496
"BA SECURITIES, INC.                ",15576
"HSBC SECURITIES, INC.               ",15576
SMITH BARNEY INC.                   ,15576
SBC CAPITAL MARKETS INC.       ,15576
NESBITT BURNS SECURITIES INC.      ,15576
LEHMAN BROTHERS INC.                ,15576
DEUTSCHE MORGAN GRENFELL/C.J.       ,3823
UBS SECURITIES LLC                 ,15483
CIBC WOOD GUNDY SECURITIES CO      ,15483
"CHASE SECURITIES, INC              ",
SBC WARBURG INC.               ,28838
BZW SECURITIES INC.                 ,
CREDIT SUISSE FIRST BOSTON CO      ,61840
PARIBAS CORPORATION                 ,61840
DRESDNER KLEINWORT BENSON NOR  ,61840
SBC WARBURG DILLON READ INC.   ,15634
BANCAMERICA ROBERTSON STEPHEN      ,3555
"NATIONSBANC MONTGOMERY SECUR,      ",
BT ALEX. BROWN INCORPORATED         ,1395
CIBC OPPENHEIMER CORP.             ,3243
BARCLAYS CAPITAL INC.               ,3243
DEUTSCHE BANK SECURITIES INC.       ,3243
WARBURG DILLON READ LLC.           ,3243
"BANCAMERICA SECURITIES, INC.       ",15581
SALOMON SMITH BARNEY INC.      ,15581
ABN AMRO INCORPORATED               ,15581
"NATIONSBANC MONTGOMERY SECUR,      ",15197
"BANC ONE CAPITAL MARKETS, INC      ",15197
CIBC WORLD MARKETS CORP.           ,15197
BANC OF AMERICA SECURITIES LLC           ,2943
HSBC SECURITIES (USA) INC.          ,2943
SG COWEN SECURITIES CORP.          ,2943
BMO NESBITT BURNS CORP.            ,2943
UBS WARBURG LLC.                   ,7032
BNP PARIBAS SECURITIES CORP.        ,127377
DEUTSCH BANC ALEX. BROWN INC.       ,
DRESDNER KLEINWORT WASSERSTEIN LLC,12673
J.P. MORGAN SECURITIES INC.        ,2029
DEUTSCHE BANK SECURITIES INC.       ,15576
MIZUHO SECURITIES USA INC.         ,
"ABN AMRO BANK, N.V., NY BR          ",2019
CREDIT SUISSE 1ST BOSTON LLC   ,15532
CITIGROUP GLOBAL MARKETS INC.  ,15580
UBS SECURITIES LLC.                ,15580
COUNTRYWIDE SECURITIES CORPORATION,8299
CREDIT SUISSE SECURITIES (USA) LLC,30219
CANTOR FITZGERALD & CO.,
DRESDNER KLEINWORT SECURITIES LLC,
RBS SECURITIES INC.,
"JEFFERIES & COMPANY, INC.",12673
RBC CAPITAL MARKETS CORPORATION,12673
"NOMURA SECURITIES INTERNATIONAL,INC",12673
DAIWA CAPITAL MARKETS AMERICA INC.,2029
J.P. MORGAN SECURITIES LLC,15582
"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",7647
"RBC CAPITAL MARKETS, LLC",2014
MF GLOBAL INC.,2014
"SG AMERICAS SECURITIES, LLC",2968
MORGAN STANLEY & CO. LLC,1494
"BANK OF NOVA SCOTIA, NEW YORK AGENCY",7647
BMO CAPITAL MARKETS CORP. ,
JEFFERIES LLC,
TD SECURITIES (USA) LLC,320764
