Primary Dealer,gvkey
"AUBREY G. LANSTON & CO., INC.      ",11687.0
BANKERS TRUST                       ,
BARTOW LEEDS & CO.                  ,
"C.F. CHILDS & CO., INC              ",
CHEMICAL                           ,2968.0
CHEMICAL                           ,2968.0
CONTINENTAL ILL.                    ,
"D.W. RICH & CO., INC                ",
DISCOUNT CORPORATION OF NEW YORK    ,
DREXEL BURNHAM LAMBERT             ,144496.0
FIRST CHICAGO                      ,144496.0
"IRVING SECURITIES, INC.             ",144496.0
"J.P.MORGAN SECURITIES,INC.          ",144496.0
MALON S. ANDRUS INC.                ,10559.0
MERRILL LYNCH GOVERNMENT SEC. INC. ,
SALOMON BROTHERS INC.              ,
SECURITIES GROUPS                   ,15706.0
THE FIRST BOSTON CORPORATION       ,2612.0
"WM. E. POLLOCK GOV'T SECURITIES,INC ",60841.0
CITIBANK                            ,60841.0
"SECOND DISTRICT SECURITIES CO., INC ",60841.0
"BLYTH & CO., INC.                   ",12406.0
FIRST INTERSTATE                    ,
HARRIS TRUST                       ,
F.I. DUPONT & CO                    ,9577.0
CHASE MANHATTAN GOV'T SECURITIES    ,
BANK OF AMERICA NT & SA            ,
BECKER                              ,
NUVEEN GOV'T SEC. INC.              ,
"PAINE, WEBBER, JACKSON & CURTIS INC.",
LEHMAN GOV'T SEC. INC.              ,
NORTHERN TRUST                      ,
DLJ SECURITIES CORPORATION         ,
FIRST PENNCO SEC. INC.              ,60841.0
"GOLDMAN, SACHS & CO.               ",114628.0
BLYTH EASTMAN DILLON CAPITAL MARKETS,
"MIDLAND-MONTAGU GOV. SEC.,INC. ",163770.0
PRUDENTIAL-BACHE               ,
"WHITE, WELD & CO INC.               ",15633.0
"WEEDEN & CO., INC.                  ",15633.0
CARROLL MCENTEE & MCGINLEY INC.     ,143356.0
LEHMAN                              ,143356.0
PAINE WEBBER INCORPORATED           ,15532.0
DEAN WITTER REYNOLDS INC.          ,8299.0
HUTTON                              ,8299.0
MORGAN STANLEY & CO. INCORPORATED  ,12124.0
"KIDDER, PEABODY & CO., INCORPORATED",7982.0
"SMITH BARNEY, HARRIS UPHAM & CO.,INC",15613.0
"KLEINWORT BENSON  GOV'T SEC., INC.  ",15613.0
REFCO PARTNERS                     ,15580.0
"BEAR,STEARNS & CO., INC.           ",2968.0
"BEAR,STEARNS & CO., INC.           ",2968.0
FIRST N/B OF BOSTON                 ,
SOUTHERN CALIF S&L ASSOC           ,
MANUFACTURERS HANOVER               ,
N.Y.HANSEATIC CORP.            ,
"GREENWICH CAPITAL MARKETS, INC.     ",12124.0
"FIRST INTERSTATE CAPITAL MARKETS,INC",12124.0
DAIWA SECURITIES AMERICA INC.      ,248136.0
"L.F.ROTHSCHILD,UNTERBERG,TOWBIN",7032.0
"NOMURA SECURITIES INTERNATIONAL,INC",177745.0
SECURITY PACIFIC NATIONAL BANK      ,9577.0
THOMSON MCKINNON SECURITIES INC.   ,7267.0
WESTPAC POLLOCK GOV'T SECURITIES INC,7003.0
"BROPHY,GESTAL, KNIGHT AND CO., L.P.",7003.0
"L.F.ROTHSCHILD & CO., INC.     ",
CHASE MANHATTAN CAPITAL MARKETS CORP,2943.0
"CRT GOVERNMENT SECURITIES,INC.     ",30128.0
"LLOYDS GOV'T SECURITIES, INC.      ",30128.0
THE NIKKO SECURITIES CO. INT'      ,12406.0
SHEARSON LEHMAN                     ,30128.0
"SANWA-BGK SECURITIES CO., L.P.     ",
"DILLON, READ & CO., INC.           ",12223.0
"S.G. WARBURG & CO., INC.            ",
"WERTHEIM SCHRODER & CO., INC.       ",5048.0
MANUFACTURERS HANOVER SECURITIES COR,7003.0
HARRIS GOVERNMENT SECURITIES       ,6239.0
"COUNTY NATWEST GOV. SEC., INC.      ",2968.0
"YAMAICHI INT'L (AMERICA), INC.     ",2968.0
"CONTINENTAL BANK, NATIONAL ASSOC.   ",3463.0
"CHASE SECURITIES, INC               ",2968.0
"CHASE SECURITIES, INC               ",2968.0
"CHEMICAL SECURITIES, INC.          ",2968.0
"CHEMICAL SECURITIES, INC.          ",2968.0
"CITICORP SECURITIES MARKETS, INC.   ",3066.0
BT SECURITIES CORPORATION           ,2029.0
"BNY SECURITIES, INC.                ",5491.0
BARCLAYS DE ZOETE WEDD GSI          ,5491.0
UBS SECURITIES INC.                ,5491.0
FUJI SECURITIES INC.               ,5491.0
FIRST CHICAGO CAPITAL MARKETS      ,16951.0
BARCLAYS DE ZOETE WEDD SECURITIES IN,114628.0
"SBC GOVERNMENT SECURITIES, INC.",248136.0
LEHMAN GOVERNMENT SECURITIES INC    ,
DEUTSCHE BANK GSI                   ,4684.0
PRUDENTIAL SECURITIES INCORPO  ,4710.0
CHEMICAL SECURITIES INC            ,2968.0
CHEMICAL SECURITIES INC            ,2968.0
EASTBRIDGE CAPITAL INC.             ,4689.0
"HARRIS-NESBITT THOMSON SEC., INC.  ",4689.0
"NATIONSBANK OF NORTH CAROLINA, N.A.",7647.0
"CITICORP SECURITIES, INC.           ",3066.0
SMITH BARNEY SHEARSON INC.          ,
ZIONS FIRST NATIONAL BANK           ,11687.0
HARRIS NESBITT THOMSON SEC. INC.   ,15577.0
DEUTSCHE BANK SECURITIES CORPORATION,15577.0
"NATIONSBANC CAPITAL MARKETS, INC.  ",7647.0
CS FIRST BOSTON CORPORATION        ,3689.0
"SANWA SECURITIES (USA) CO., L      ",144496.0
"BA SECURITIES, INC.                ",2024.0
"HSBC SECURITIES, INC.               ",15576.0
SMITH BARNEY INC.                   ,15576.0
SBC CAPITAL MARKETS INC.       ,15576.0
NESBITT BURNS SECURITIES INC.      ,15576.0
LEHMAN BROTHERS INC.                ,15576.0
DEUTSCHE MORGAN GRENFELL/C.J.       ,3823.0
UBS SECURITIES LLC                 ,15483.0
CIBC WOOD GUNDY SECURITIES CO      ,15483.0
"CHASE SECURITIES, INC              ",
SBC WARBURG INC.               ,28838.0
BZW SECURITIES INC.                 ,
CREDIT SUISSE FIRST BOSTON CO      ,61840.0
PARIBAS CORPORATION                 ,61840.0
DRESDNER KLEINWORT BENSON NOR  ,61840.0
SBC WARBURG DILLON READ INC.   ,15634.0
BANCAMERICA ROBERTSON STEPHEN      ,2024.0
"NATIONSBANC MONTGOMERY SECUR,      ",
BT ALEX. BROWN INCORPORATED         ,1395.0
CIBC OPPENHEIMER CORP.             ,3243.0
BARCLAYS CAPITAL INC.               ,3243.0
DEUTSCHE BANK SECURITIES INC.       ,3243.0
WARBURG DILLON READ LLC.           ,3243.0
"BANCAMERICA SECURITIES, INC.       ",2024.0
SALOMON SMITH BARNEY INC.      ,15581.0
ABN AMRO INCORPORATED               ,15581.0
"NATIONSBANC MONTGOMERY SECUR,      ",15197.0
"BANC ONE CAPITAL MARKETS, INC      ",15197.0
CIBC WORLD MARKETS CORP.           ,15197.0
BANC OF AMERICA SECURITIES LLC           ,2943.0
HSBC SECURITIES (USA) INC.          ,2943.0
SG COWEN SECURITIES CORP.          ,2943.0
BMO NESBITT BURNS CORP.            ,2943.0
UBS WARBURG LLC.                   ,7032.0
BNP PARIBAS SECURITIES CORP.        ,127377.0
DEUTSCH BANC ALEX. BROWN INC.       ,
DRESDNER KLEINWORT WASSERSTEIN LLC,12673.0
J.P. MORGAN SECURITIES INC.        ,2029.0
DEUTSCHE BANK SECURITIES INC.       ,15576.0
MIZUHO SECURITIES USA INC.         ,
"ABN AMRO BANK, N.V., NY BR          ",2019.0
CREDIT SUISSE 1ST BOSTON LLC   ,15532.0
CITIGROUP GLOBAL MARKETS INC.  ,15580.0
UBS SECURITIES LLC.                ,15580.0
COUNTRYWIDE SECURITIES CORPORATION,8299.0
CREDIT SUISSE SECURITIES (USA) LLC,30219.0
CANTOR FITZGERALD & CO.,
DRESDNER KLEINWORT SECURITIES LLC,
RBS SECURITIES INC.,
