Unnamed: 0,Primary Dealer,Start Date,End Date,RSSD ID,Holding_Company_RSSD_ID,holding_company_name,permco,gvkey,linkdt,linkenddt
0,"AUBREY G. LANSTON & CO., INC.      ",1960/5/19,00:00.0,1573181,958615,,,11687,,
1,BANKERS TRUST                       ,1960/5/19,00:00.0,,,,,,,
2,BARTOW LEEDS & CO.                  ,1960/5/19,00:00.0,,,,,,,
3,"C.F. CHILDS & CO., INC              ",1960/5/19,00:00.0,,,,,,,
4,CHEMICAL                           ,1960/5/19,00:00.0,1155420,1039502,JPMORGAN CHASE & CO.,20436,2968,1969/3/5,56:17.3
5,CHEMICAL                           ,1960/5/19,00:00.0,1155420,1039502,JPMORGAN CHASE & CO.,20436,2968,1987/5/21,00:00.0
6,CONTINENTAL ILL.                    ,1960/5/19,00:00.0,,,,,,,
7,"D.W. RICH & CO., INC                ",1960/5/19,00:00.0,,,,,,,
8,DISCOUNT CORPORATION OF NEW YORK    ,1960/5/19,00:00.0,,,,,,,
9,DREXEL BURNHAM LAMBERT             ,1960/5/19,00:00.0,,,,,144496,,
10,FIRST CHICAGO                      ,1960/5/19,00:00.0,,,,,144496,,
11,"IRVING SECURITIES, INC.             ",1960/5/19,00:00.0,1033461,133319,,,144496,,
12,"J.P.MORGAN SECURITIES,INC.          ",1960/5/19,00:00.0,,,,,144496,,
13,MALON S. ANDRUS INC.                ,1960/5/19,00:00.0,,,,,10559,,
14,MERRILL LYNCH GOVERNMENT SEC. INC. ,1960/5/19,00:00.0,1440564,1246140,,,,,
15,SALOMON BROTHERS INC.              ,1960/5/19,00:00.0,,,,,,,
16,SECURITIES GROUPS                   ,1960/5/19,00:00.0,,,,,15706,,
17,THE FIRST BOSTON CORPORATION       ,1960/5/19,00:00.0,1462089,1574834,"CREDIT SUISSE HOLDINGS (USA), INC.",,2612,,
18,"WM. E. POLLOCK GOV'T SECURITIES,INC ",1960/5/19,00:00.0,,,,,60841,,
19,CITIBANK                            ,1961/6/15,00:00.0,,,,,60841,,
20,"SECOND DISTRICT SECURITIES CO., INC ",1961/6/15,00:00.0,,,,,60841,,
21,"BLYTH & CO., INC.                   ",1962/4/16,00:00.0,,,,,12406,,
22,FIRST INTERSTATE                    ,1964/7/31,00:00.0,,,,,,,
23,HARRIS TRUST                       ,1965/7/15,00:00.0,,,,,,,
24,F.I. DUPONT & CO                    ,1968/12/12,00:00.0,,,,,9577,,
25,CHASE MANHATTAN GOV'T SECURITIES    ,1970/7/15,00:00.0,1041699,1041671,,,,,
26,BANK OF AMERICA NT & SA            ,1971/11/17,00:00.0,,,,,,,
27,BECKER                              ,1971/11/17,00:00.0,1573220,,,,,,
28,NUVEEN GOV'T SEC. INC.              ,1971/11/18,00:00.0,1599266,,,,,,
29,"PAINE, WEBBER, JACKSON & CURTIS INC.",1972/6/22,00:00.0,,,,,,,
30,LEHMAN GOV'T SEC. INC.              ,1973/2/22,00:00.0,1568860,,,,,,
31,NORTHERN TRUST                      ,1973/8/8,00:00.0,,,,,,,
32,DLJ SECURITIES CORPORATION         ,1974/3/6,00:00.0,2905426,,,,,,
33,FIRST PENNCO SEC. INC.              ,1974/3/7,00:00.0,1116159,354712,,,60841,,
34,"GOLDMAN, SACHS & CO.               ",1974/12/4,23:01.7,1440528,2380443,"GOLDMAN SACHS GROUP, INC., THE",35048,114628,1999/5/4,56:17.3
35,BLYTH EASTMAN DILLON CAPITAL MARKETS,1974/12/5,00:00.0,,,,,,,
36,"MIDLAND-MONTAGU GOV. SEC.,INC. ",1975/8/13,00:00.0,1646928,1137716,,,163770,,
37,PRUDENTIAL-BACHE               ,1975/10/29,00:00.0,1564947,,,,,,
38,"WHITE, WELD & CO INC.               ",1976/2/26,00:00.0,,,,,15633,,
39,"WEEDEN & CO., INC.                  ",1976/6/17,00:00.0,,,,,15633,,
40,CARROLL MCENTEE & MCGINLEY INC.     ,1976/9/29,00:00.0,1382338,413208,"HSBC BANK USA, NATIONAL ASSOCIATION",,143356,,
41,LEHMAN                              ,1976/11/25,00:00.0,,,,,143356,,
42,PAINE WEBBER INCORPORATED           ,1976/11/25,00:00.0,1639836,,,,15532,,
43,DEAN WITTER REYNOLDS INC.          ,1977/11/2,00:00.0,1440546,,,,8299,,
44,HUTTON                              ,1977/11/2,00:00.0,,,,,8299,,
45,MORGAN STANLEY & CO. INCORPORATED  ,1978/2/1,00:00.0,1573239,2162966,MORGAN STANLEY,21224,12124,1986/3/21,56:17.3
46,"KIDDER, PEABODY & CO., INCORPORATED",1979/2/7,00:00.0,1440537,,,,7982,,
47,"SMITH BARNEY, HARRIS UPHAM & CO.,INC",1979/8/22,00:00.0,1603949,,,,15613,,
48,"KLEINWORT BENSON  GOV'T SEC., INC.  ",1980/2/13,00:00.0,,,,,15613,,
49,REFCO PARTNERS                     ,1980/11/19,00:00.0,,,,,15580,,
50,"BEAR,STEARNS & CO., INC.           ",1981/6/10,00:00.0,1246104,1039502,JPMORGAN CHASE & CO.,20436,2968,1969/3/5,56:17.3
51,"BEAR,STEARNS & CO., INC.           ",1981/6/10,00:00.0,1246104,1039502,JPMORGAN CHASE & CO.,20436,2968,1987/5/21,00:00.0
52,FIRST N/B OF BOSTON                 ,1983/3/21,00:00.0,,,,,,,
53,SOUTHERN CALIF S&L ASSOC           ,1983/6/7,00:00.0,337078,,,,,,
54,MANUFACTURERS HANOVER               ,1983/8/31,00:00.0,,,,,,,
55,N.Y.HANSEATIC CORP.            ,1984/2/8,00:00.0,,,,,,,
56,"GREENWICH CAPITAL MARKETS, INC.     ",1984/7/31,00:00.0,1851106,1129319,"SBI SHINSEI BANK, LIMITED",,12124,,
57,"FIRST INTERSTATE CAPITAL MARKETS,INC",1986/11/3,00:00.0,1154647,1154665,,,12124,,
58,DAIWA SECURITIES AMERICA INC.      ,1986/12/11,00:00.0,1607237,3919345,DAIWA SECURITIES GROUP INC. (JAPAN),,248136,,
59,"L.F.ROTHSCHILD,UNTERBERG,TOWBIN",1986/12/11,00:00.0,,,,,7032,,
60,"NOMURA SECURITIES INTERNATIONAL,INC",1986/12/11,00:00.0,1445345,3877520,"NOMURA HOLDINGS, INC.",,177745,,
61,SECURITY PACIFIC NATIONAL BANK      ,1986/12/11,00:00.0,753267,1024526,,4205,9577,1972/12/14,00:00.0
62,THOMSON MCKINNON SECURITIES INC.   ,1986/12/11,00:00.0,1568833,,,,7267,,
63,WESTPAC POLLOCK GOV'T SECURITIES INC,1987/2/4,00:00.0,1920226,1858646,,,7003,,
64,"BROPHY,GESTAL, KNIGHT AND CO., L.P.",1987/5/8,00:00.0,,,,,7003,,
