Unnamed: 0,Primary Dealer,Start Date,End Date,RSSD ID,gvkey-V1,Holding_Company_RSSD_ID,holding_company_name,Permco,gvkey,linkdt,linkenddt
0,"AUBREY G. LANSTON & CO., INC.      ",1960-05-19,2000-04-17 00:00:00.000000,1573181.0,11687.0,958615.0,,,,,
1,BANKERS TRUST                       ,1960-05-19,1989-07-07 00:00:00.000000,,,,,,,,
2,BARTOW LEEDS & CO.                  ,1960-05-19,1962-06-14 00:00:00.000000,,,,,,,,
3,"C.F. CHILDS & CO., INC              ",1960-05-19,1965-06-29 00:00:00.000000,,,,,,,,
4,CHEMICAL                           ,1960-05-19,1989-03-31 00:00:00.000000,1155420.0,15362.0,1039502.0,JPMORGAN CHASE & CO.,20436.0,2968.0,1969-03-05,2025-03-10 20:56:17.293327
5,CHEMICAL                           ,1960-05-19,1989-03-31 00:00:00.000000,1155420.0,15362.0,1039502.0,JPMORGAN CHASE & CO.,20436.0,2968.0,1987-05-21,1992-03-26 00:00:00.000000
6,CONTINENTAL ILL.                    ,1960-05-19,1988-12-14 00:00:00.000000,,,,,,,,
7,"D.W. RICH & CO., INC                ",1960-05-19,1969-12-31 00:00:00.000000,,,,,,,,
8,DISCOUNT CORPORATION OF NEW YORK    ,1960-05-19,1993-08-10 00:00:00.000000,,,,,,,,
9,DREXEL BURNHAM LAMBERT             ,1960-05-19,1990-03-28 00:00:00.000000,,144496.0,,,,,,
10,FIRST CHICAGO                      ,1960-05-19,1990-01-01 00:00:00.000000,,144496.0,,,,,,
11,"IRVING SECURITIES, INC.             ",1960-05-19,1989-07-31 00:00:00.000000,1033461.0,144496.0,133319.0,,,,,
12,"J.P.MORGAN SECURITIES,INC.          ",1960-05-19,2001-04-30 00:00:00.000000,,144496.0,,,,,,
13,MALON S. ANDRUS INC.                ,1960-05-19,1965-11-24 00:00:00.000000,,10559.0,,,,,,
14,MERRILL LYNCH GOVERNMENT SEC. INC. ,1960-05-19,2009-02-11 00:00:00.000000,1440564.0,,1246140.0,,,,,
15,SALOMON BROTHERS INC.              ,1960-05-19,1998-08-31 00:00:00.000000,,,,,,,,
16,SECURITIES GROUPS                   ,1960-05-19,1983-06-05 00:00:00.000000,,15706.0,,,,,,
17,THE FIRST BOSTON CORPORATION       ,1960-05-19,1993-10-11 00:00:00.000000,1462089.0,2612.0,1574834.0,"CREDIT SUISSE HOLDINGS (USA), INC.",,,,
18,"WM. E. POLLOCK GOV'T SECURITIES,INC ",1960-05-19,1987-02-03 00:00:00.000000,,60841.0,,,,,,
19,CITIBANK                            ,1961-06-15,1989-04-13 00:00:00.000000,,60841.0,,,,,,
20,"SECOND DISTRICT SECURITIES CO., INC ",1961-06-15,1980-08-27 00:00:00.000000,,60841.0,,,,,,
21,"BLYTH & CO., INC.                   ",1962-04-16,1970-01-14 00:00:00.000000,,12406.0,,,,,,
22,FIRST INTERSTATE                    ,1964-07-31,1986-10-31 00:00:00.000000,,,,,,,,
23,HARRIS TRUST                       ,1965-07-15,1988-08-31 00:00:00.000000,,,,,,,,
24,F.I. DUPONT & CO                    ,1968-12-12,1973-07-18 00:00:00.000000,,9577.0,,,,,,
25,CHASE MANHATTAN GOV'T SECURITIES    ,1970-07-15,1987-06-30 00:00:00.000000,1041699.0,,1041671.0,,,,,
26,BANK OF AMERICA NT & SA            ,1971-11-17,1994-04-15 00:00:00.000000,,,,,,,,
27,BECKER                              ,1971-11-17,1984-09-10 00:00:00.000000,1573220.0,,,,,,,
28,NUVEEN GOV'T SEC. INC.              ,1971-11-18,1980-08-27 00:00:00.000000,1599266.0,,,,,,,
29,"PAINE, WEBBER, JACKSON & CURTIS INC.",1972-06-22,1973-06-27 00:00:00.000000,,,,,,,,
30,LEHMAN GOV'T SEC. INC.              ,1973-02-22,1974-01-29 00:00:00.000000,1568860.0,,,,,,,
31,NORTHERN TRUST                      ,1973-08-08,1986-05-29 00:00:00.000000,,,,,,,,
32,DLJ SECURITIES CORPORATION         ,1974-03-06,2000-12-31 00:00:00.000000,2905426.0,,,,,,,
33,FIRST PENNCO SEC. INC.              ,1974-03-07,1980-08-27 00:00:00.000000,1116159.0,60841.0,354712.0,,,,,
34,"GOLDMAN, SACHS & CO.               ",1974-12-04,2025-03-10 18:23:01.663441,1440528.0,6657.0,2380443.0,"GOLDMAN SACHS GROUP, INC., THE",35048.0,114628.0,1999-05-04,2025-03-10 20:56:17.293327
35,BLYTH EASTMAN DILLON CAPITAL MARKETS,1974-12-05,1979-12-31 00:00:00.000000,,,,,,,,
36,"MIDLAND-MONTAGU GOV. SEC.,INC. ",1975-08-13,1990-07-26 00:00:00.000000,1646928.0,163770.0,1137716.0,,,,,
37,PRUDENTIAL-BACHE               ,1975-10-29,1991-02-24 00:00:00.000000,1564947.0,,,,,,,
38,"WHITE, WELD & CO INC.               ",1976-02-26,1978-04-18 00:00:00.000000,,15633.0,,,,,,
39,"WEEDEN & CO., INC.                  ",1976-06-17,1978-05-15 00:00:00.000000,,15633.0,,,,,,
40,CARROLL MCENTEE & MCGINLEY INC.     ,1976-09-29,1994-05-06 00:00:00.000000,1382338.0,143356.0,413208.0,"HSBC BANK USA, NATIONAL ASSOCIATION",,,,
41,LEHMAN                              ,1976-11-25,1987-12-31 00:00:00.000000,,143356.0,,,,,,
42,PAINE WEBBER INCORPORATED           ,1976-11-25,2000-12-04 00:00:00.000000,1639836.0,15532.0,,,,,,
43,DEAN WITTER REYNOLDS INC.          ,1977-11-02,1998-04-30 00:00:00.000000,1440546.0,8299.0,,,,,,
44,HUTTON                              ,1977-11-02,1987-12-31 00:00:00.000000,,8299.0,,,,,,
45,MORGAN STANLEY & CO. INCORPORATED  ,1978-02-01,2011-05-31 00:00:00.000000,1573239.0,25296.0,2162966.0,MORGAN STANLEY,21224.0,12124.0,1986-03-21,2025-03-10 20:56:17.293327
46,"KIDDER, PEABODY & CO., INCORPORATED",1979-02-07,1994-12-30 00:00:00.000000,1440537.0,7982.0,,,,,,
47,"SMITH BARNEY, HARRIS UPHAM & CO.,INC",1979-08-22,1993-08-01 00:00:00.000000,1603949.0,15613.0,,,,,,
48,"KLEINWORT BENSON  GOV'T SEC., INC.  ",1980-02-13,1989-12-27 00:00:00.000000,,15613.0,,,,,,
49,REFCO PARTNERS                     ,1980-11-19,1987-05-07 00:00:00.000000,,15580.0,,,,,,
50,"BEAR,STEARNS & CO., INC.           ",1981-06-10,2008-10-01 00:00:00.000000,1246104.0,2968.0,1039502.0,JPMORGAN CHASE & CO.,20436.0,2968.0,1969-03-05,2025-03-10 20:56:17.293327
51,"BEAR,STEARNS & CO., INC.           ",1981-06-10,2008-10-01 00:00:00.000000,1246104.0,2968.0,1039502.0,JPMORGAN CHASE & CO.,20436.0,2968.0,1987-05-21,1992-03-26 00:00:00.000000
52,FIRST N/B OF BOSTON                 ,1983-03-21,1985-11-17 00:00:00.000000,,,,,,,,
53,SOUTHERN CALIF S&L ASSOC           ,1983-06-07,1983-08-05 00:00:00.000000,337078.0,,,,,,,
54,MANUFACTURERS HANOVER               ,1983-08-31,1988-07-29 00:00:00.000000,,,,,,,,
55,N.Y.HANSEATIC CORP.            ,1984-02-08,1984-07-26 00:00:00.000000,,,,,,,,
56,"GREENWICH CAPITAL MARKETS, INC.     ",1984-07-31,2009-04-01 00:00:00.000000,1851106.0,12124.0,1129319.0,"SBI SHINSEI BANK, LIMITED",,,,
57,"FIRST INTERSTATE CAPITAL MARKETS,INC",1986-11-03,1988-06-17 00:00:00.000000,1154647.0,12124.0,1154665.0,,,,,
58,DAIWA SECURITIES AMERICA INC.      ,1986-12-11,2010-04-01 00:00:00.000000,1607237.0,248136.0,3919345.0,DAIWA SECURITIES GROUP INC. (JAPAN),,,,
59,"L.F.ROTHSCHILD,UNTERBERG,TOWBIN",1986-12-11,1987-05-15 00:00:00.000000,,7032.0,,,,,,
60,"NOMURA SECURITIES INTERNATIONAL,INC",1986-12-11,2007-11-30 00:00:00.000000,1445345.0,177745.0,3877520.0,"NOMURA HOLDINGS, INC.",,,,
61,SECURITY PACIFIC NATIONAL BANK      ,1986-12-11,1991-01-17 00:00:00.000000,753267.0,7647.0,1024526.0,,4205.0,9577.0,1972-12-14,1992-04-30 00:00:00.000000
62,THOMSON MCKINNON SECURITIES INC.   ,1986-12-11,1989-07-07 00:00:00.000000,1568833.0,7267.0,,,,,,
63,WESTPAC POLLOCK GOV'T SECURITIES INC,1987-02-04,1990-06-27 00:00:00.000000,1920226.0,7003.0,1858646.0,,,,,
64,"BROPHY,GESTAL, KNIGHT AND CO., L.P.",1987-05-08,1988-06-19 00:00:00.000000,,7003.0,,,,,,
