,RSSI_ID,Primary Dealer,holding company,Dealer Start Date,Dealer End Date,Matched Bank Name,RSSD_ID,Bank Start Date,Bank End Date,Match Score
0,3968642,"ABN AMRO BANK, N.V., NY BR          ",,2002/12/9,2006/9/15 00:00,ABN AMRO BANK N.V.,3968642,2010/3/1,,57
1,1948239,ABN AMRO INCORPORATED               ,,1998/9/29,2002/12/8 00:00,,,,,
2,1573181,"AUBREY G. LANSTON & CO., INC.      ",,1960/5/19,2000/4/17 00:00,"ANDREW & SUZANNE CO., INC.",2792569,1999/1/1,44:18.1,64
3,1482069,"BA SECURITIES, INC.                ",no,1994/4/18,1997/9/30 00:00,,,,,
4,1823907,BANC OF AMERICA SECURITIES LLC           ,,1999/5/17,2010/11/1 00:00,,,,,
5,1370456,"BANC ONE CAPITAL MARKETS, INC      ",,1999/4/1,2004/8/1 00:00,"NISOURCE CAPITAL MARKETS, INC",2879189,2000/1/3,44:24.7,79
6,1482069,BANCAMERICA ROBERTSON STEPHEN      ,,1997/10/1,1998/8/31 00:00,"ROBERTSON, STEPHENS & COMPANY",2399771,1989/4/10,44:27.1,73
7,1482069,"BANCAMERICA SECURITIES, INC.       ",,1998/9/1,1998/9/30 00:00,,,,,
8,,BANK OF AMERICA NT & SA            ,,1971/11/17,1994/4/15 00:00,BANK OF AMERICA S.A.,1594300,1983/5/4,44:31.2,85
9,5783335,"BANK OF NOVA SCOTIA, NEW YORK AGENCY",1,2011/10/4,2025/3/8 22:44,"BANK OF NOVA SCOTIA, THE",1238967,2022/12/5,44:33.9,69
10,,BANKERS TRUST                       ,,1960/5/19,1989/7/7 00:00,,,,,
11,1146316,BARCLAYS CAPITAL INC.               ,,1998/4/1,2025/3/8 22:44,BARCLAYS CAPITAL INC.,1146316,2018/11/28,44:37.1,100
12,1390191,BARCLAYS DE ZOETE WEDD GSI          ,,1989/12/7,1990/3/1 00:00,,,,,
13,1909249,BARCLAYS DE ZOETE WEDD SECURITIES IN,,1990/3/2,1996/6/30 00:00,,,,,
14,,BARTOW LEEDS & CO.                  ,,1960/5/19,1962/6/14 00:00,,,,,
15,1246104,"BEAR,STEARNS & CO., INC.           ",,1981/6/10,2008/10/1 00:00,,,,,
16,1573220,BECKER                              ,,1971/11/17,1984/9/10 00:00,"A.G. BECKER, INC.",1573220,1971/11/18,44:46.7,60
17,,"BLYTH & CO., INC.                   ",,1962/4/16,1970/1/14 00:00,,,,,
18,,BLYTH EASTMAN DILLON CAPITAL MARKETS,,1974/12/5,1979/12/31 00:00,,,,,
19,3206401,BMO CAPITAL MARKETS CORP. ,,2011/10/4,2025/3/8 22:44,BMO CAPITAL MARKETS CORP.,3206401,2021/9/8,44:52.9,100
20,,BMO NESBITT BURNS CORP.            ,,2000/2/15,2002/3/31 00:00,BRISTOL BAY NATIVE CORP.,1591680,1989/5/1,44:54.9,58
21,,BNP PARIBAS SECURITIES CORP.        ,,2000/9/15,2025/3/8 22:44,BNP PARIBAS SECURITIES CORP.,2311326,2022/7/28,44:57.3,100
22,,"BNY SECURITIES, INC.                ",,1989/8/1,1990/8/9 00:00,"BHC SECURITIES, INC",1070028,1984/12/31,44:59.0,89
23,,"BROPHY,GESTAL, KNIGHT AND CO., L.P.",,1987/5/8,1988/6/19 00:00,,,,,
24,,BT ALEX. BROWN INCORPORATED         ,,1997/10/23,1999/6/4 00:00,ALEX BROWN INCORPORATED,2408525,1986/6/30,45:03.8,94
25,,BT SECURITIES CORPORATION           ,,1989/7/10,1997/10/22 00:00,,,,,
26,,BZW SECURITIES INC.                 ,,1996/7/1,1998/3/31 00:00,"BHC SECURITIES, INC",1070028,1984/12/31,45:07.8,89
27,,"C.F. CHILDS & CO., INC              ",,1960/5/19,1965/6/29 00:00,"GAF CHEMICALS, INC.",1662115,1901/1/1,45:09.5,65
28,,CANTOR FITZGERALD & CO.,,2006/8/1,2025/3/8 22:44,CANTOR FITZGERALD & COMPANY,2400891,1913/12/23,45:11.3,89
29,,CARROLL MCENTEE & MCGINLEY INC.     ,,1976/9/29,1994/5/6 00:00,MACHINERY INVESTMENT CORP.,1566389,1980/5/5,45:13.7,60
