"DATES" "FL664090005.Q" "FL663020003.Q" "FL664004005.Q" "FL663069103.Q" "FL663061105.Q" "FL663061703.Q" "FL663062003.Q" "FL663063005.Q" "FL663069803.Q" "FL663064103.Q" "FL663067003.Q" "FL663090005.Q" "FL664190005.Q" "FL662150005.Q" "FL664104005.Q" "FL663163003.Q" "FL663168005.Q" "FL663170003.Q" "FL663167005.Q" "FL663167003.Q" "FL763067005.Q" "FL753067000.Q" "FL663178003.Q" "FL663190005.Q" "FL663192003.Q" "FL663194005.Q" "FL663193005.Q"
"195201" 3340.00 597.00 874.00 0.00 191.00 0.00 300.00 383.00 0.00 447.00 1422.00 0.00 3477.00 -1026.00 0.00 0.00 0.00 100.00 3282.00 832.00 2300.00 150.00 14.00 1107.00 171.00 0.00 936.00
"195202" 4180.00 586.00 1699.00 0.00 1121.00 0.00 200.00 378.00 0.00 441.00 1454.00 0.00 4317.00 -965.00 0.00 0.00 0.00 100.00 4057.00 779.00 3078.00 200.00 16.00 1109.00 173.00 0.00 936.00
"195203" 3518.00 571.00 834.00 0.00 180.00 0.00 70.00 584.00 0.00 648.00 1465.00 0.00 3656.00 -1133.00 0.00 0.00 0.00 140.00 3561.00 761.00 2500.00 300.00 17.00 1071.00 175.00 0.00 896.00
"195204" 4149.00 549.00 1486.00 0.00 709.00 0.00 228.00 549.00 0.00 612.00 1502.00 0.00 4290.00 -1103.00 0.00 0.00 0.00 150.00 4159.00 796.00 3163.00 200.00 20.00 1064.00 178.00 0.00 886.00
"195301" 3729.00 530.00 914.00 0.00 208.00 0.00 150.00 556.00 0.00 620.00 1665.00 0.00 3871.00 -1128.00 0.00 0.00 0.00 160.00 3768.00 818.00 2700.00 250.00 14.00 1057.00 181.00 0.00 876.00
"195302" 3825.00 510.00 821.00 0.00 145.00 0.00 100.00 576.00 0.00 640.00 1854.00 0.00 3969.00 -1074.00 0.00 0.00 0.00 170.00 3811.00 718.00 2793.00 300.00 10.00 1052.00 186.00 0.00 866.00
"195303" 4100.00 492.00 1140.00 0.00 426.00 0.00 100.00 614.00 0.00 679.00 1789.00 0.00 4244.00 -1034.00 0.00 0.00 0.00 180.00 4041.00 741.00 2900.00 400.00 11.00 1046.00 190.00 0.00 856.00
"195304" 4551.00 475.00 1608.00 0.00 640.00 0.00 430.00 538.00 0.00 602.00 1866.00 0.00 4682.00 -1202.00 0.00 0.00 0.00 180.00 4647.00 784.00 3563.00 300.00 21.00 1036.00 180.00 0.00 856.00
"195401" 4122.00 476.00 1219.00 0.00 443.00 0.00 300.00 476.00 0.00 539.00 1888.00 0.00 4252.00 -1198.00 0.00 0.00 0.00 190.00 4216.00 866.00 3000.00 350.00 13.00 1031.00 185.00 0.00 846.00
"195402" 4907.00 492.00 1738.00 0.00 869.00 0.00 300.00 569.00 0.00 632.00 2045.00 0.00 5031.00 -1256.00 0.00 0.00 0.00 190.00 5040.00 922.00 3718.00 400.00 22.00 1035.00 189.00 0.00 846.00
"195403" 5152.00 521.00 1626.00 0.00 674.00 0.00 300.00 652.00 0.00 715.00 2290.00 0.00 5267.00 -1307.00 0.00 0.00 0.00 200.00 5316.00 1016.00 3800.00 500.00 29.00 1029.00 193.00 0.00 836.00
"195404" 5595.00 557.00 1635.00 0.00 666.00 0.00 300.00 669.00 0.00 731.00 2672.00 0.00 5715.00 -1525.00 0.00 0.00 0.00 200.00 5975.00 1121.00 4454.00 400.00 22.00 1043.00 207.00 0.00 836.00
"195501" 5290.00 579.00 1150.00 0.00 322.00 0.00 300.00 528.00 0.00 590.00 2971.00 0.00 5411.00 -1529.00 0.00 0.00 0.00 200.00 5674.00 1124.00 4100.00 450.00 19.00 1047.00 211.00 0.00 836.00
"195502" 5512.00 581.00 1182.00 0.00 228.00 0.00 300.00 654.00 0.00 716.00 3033.00 0.00 5634.00 -1613.00 0.00 0.00 0.00 200.00 5980.00 1009.00 4471.00 500.00 15.00 1052.00 216.00 0.00 836.00
"195503" 5375.00 564.00 1067.00 0.00 218.00 0.00 300.00 549.00 0.00 611.00 3133.00 0.00 5498.00 -1654.00 0.00 0.00 0.00 200.00 5875.00 1075.00 4200.00 600.00 20.00 1057.00 221.00 0.00 836.00
"195504" 5910.00 530.00 1387.00 0.00 264.00 0.00 300.00 823.00 0.00 885.00 3108.00 0.00 6034.00 -1774.00 0.00 0.00 0.00 210.00 6520.00 983.00 5037.00 500.00 26.00 1052.00 226.00 0.00 826.00
"195601" 5440.00 508.00 1091.00 0.00 111.00 0.00 300.00 680.00 0.00 742.00 3099.00 0.00 5565.00 -1825.00 0.00 0.00 0.00 220.00 6106.00 1056.00 4500.00 550.00 17.00 1047.00 231.00 0.00 816.00
"195602" 5374.00 502.00 1015.00 0.00 122.00 0.00 200.00 693.00 0.00 755.00 3102.00 0.00 5498.00 -1738.00 0.00 0.00 0.00 230.00 5953.00 920.00 4433.00 600.00 13.00 1040.00 234.00 0.00 806.00
"195603" 5093.00 513.00 817.00 0.00 114.00 0.00 100.00 603.00 0.00 666.00 3097.00 0.00 5215.00 -1728.00 0.00 0.00 0.00 230.00 5653.00 953.00 4000.00 700.00 17.00 1043.00 237.00 0.00 806.00
"195604" 5331.00 538.00 965.00 0.00 243.00 0.00 100.00 622.00 0.00 686.00 3142.00 0.00 5435.00 -1691.00 0.00 0.00 0.00 230.00 5849.00 968.00 4281.00 600.00 18.00 1029.00 223.00 0.00 806.00
"195701" 4665.00 559.00 570.00 0.00 113.00 0.00 0.00 457.00 0.00 521.00 3015.00 0.00 4771.00 -1664.00 0.00 0.00 0.00 240.00 5152.00 902.00 3600.00 650.00 19.00 1024.00 228.00 0.00 796.00
"195702" 4973.00 568.00 659.00 0.00 87.00 0.00 100.00 472.00 0.00 536.00 3210.00 0.00 5080.00 -1706.00 0.00 0.00 0.00 240.00 5502.00 902.00 3900.00 700.00 16.00 1028.00 232.00 0.00 796.00
"195703" 5050.00 564.00 819.00 0.00 223.00 0.00 100.00 496.00 0.00 561.00 3106.00 0.00 5159.00 -1654.00 0.00 0.00 0.00 240.00 5522.00 922.00 3800.00 800.00 19.00 1032.00 236.00 0.00 796.00
"195704" 5477.00 547.00 1354.00 0.00 449.00 0.00 200.00 705.00 0.00 771.00 2805.00 0.00 5585.00 -1620.00 0.00 0.00 0.00 250.00 5907.00 986.00 4221.00 700.00 25.00 1023.00 237.00 0.00 786.00
"195801" 5439.00 537.00 1220.00 0.00 332.00 0.00 325.00 563.00 0.00 628.00 3054.00 0.00 5544.00 -1793.00 0.00 0.00 0.00 250.00 6042.00 1049.00 4200.00 793.00 22.00 1023.00 237.00 0.00 786.00
"195802" 6731.00 537.00 1940.00 0.00 867.00 0.00 370.00 703.00 0.00 768.00 3486.00 0.00 6830.00 -1837.00 0.00 0.00 0.00 250.00 7370.00 1152.00 5400.00 818.00 24.00 1023.00 237.00 0.00 786.00
"195803" 5303.00 549.00 775.00 0.00 199.00 0.00 215.00 361.00 0.00 425.00 3554.00 0.00 5395.00 -1784.00 0.00 0.00 0.00 260.00 5876.00 1231.00 3700.00 945.00 30.00 1013.00 237.00 0.00 776.00
"195804" 6071.00 571.00 1242.00 0.00 604.00 0.00 215.00 423.00 0.00 488.00 3770.00 0.00 6152.00 -1829.00 0.00 0.00 0.00 260.00 6677.00 1275.00 4661.00 741.00 33.00 1011.00 235.00 0.00 776.00
"195901" 5426.00 590.00 825.00 0.00 408.00 0.00 275.00 142.00 0.00 207.00 3804.00 0.00 5496.00 -1895.00 0.00 0.00 0.00 270.00 6084.00 1391.00 3900.00 793.00 38.00 999.00 234.00 0.00 765.00
"195902" 5480.00 602.00 719.00 0.00 275.00 0.00 250.00 194.00 0.00 258.00 3901.00 0.00 5542.00 -1915.00 0.00 0.00 0.00 270.00 6152.00 1234.00 4100.00 818.00 35.00 1000.00 236.00 0.00 764.00
"195903" 5598.00 605.00 882.00 0.00 401.00 0.00 180.00 301.00 0.00 364.00 3747.00 0.00 5650.00 -1856.00 0.00 0.00 0.00 280.00 6188.00 1143.00 4100.00 945.00 46.00 992.00 238.00 0.00 754.00
